claim,best_reference_text,human_label,notes,tfidf_score,sbert_score,ensemble_score,best_reference_source,ensemble_pred,tfidf_pred,sbert_pred
Cognitive behavioral therapy helps treat depression,Alcohol affects the chemistry of the brain which increases the risk of depression. Cannabis can also bring on depression particularly in teenagers. Avoiding drugs and alcohol is important for maintaining good mental health.,consistent,direct match,0.14918827198200238,0.5153192281723022,0.3322537500771523,NHS,inconsistent,partially aligned,consistent
Vaccination reduces infection risk,Antibiotics are only effective against bacterial infections and have no effect on viral infections such as colds or flu. Misuse of antibiotics contributes to the serious problem of antibiotic resistance.,consistent,direct match,0.12437715760366022,0.4688686728477478,0.296622915225704,NHS,inconsistent,partially aligned,partially aligned
Weight-loss surgery improves diabetes outcomes,"Type 2 diabetes causes blood sugar to become too high and can lead to serious complications such as sight loss, kidney failure, heart attack and stroke. You can reduce your risk by eating healthily, losing weight and being more physically active.",consistent,strong support,0.15342226566140463,0.5042954087257385,0.32885883719357156,NHS,inconsistent,partially aligned,consistent
Diabetes drugs lower blood sugar levels,"Type 2 diabetes causes blood sugar to become too high and can lead to serious complications such as sight loss, kidney failure, heart attack and stroke. You can reduce your risk by eating healthily, losing weight and being more physically active.",consistent,strong support,0.14160549655369126,0.5196906328201294,0.3306480646869103,NHS,inconsistent,partially aligned,consistent
Obesity linked to diabetes risk,"Obesity increases the risk of many serious conditions including type 2 diabetes, coronary heart disease, some types of cancer, and stroke. Obesity reduces life expectancy by an average of 3 to 10 years depending on severity.",partially aligned,not direct,0.3083298211373986,0.6479440927505493,0.47813695694397396,NHS,consistent,consistent,consistent
Healthy diet improves heart health,"Eating a low-fat diet that includes lots of fibre such as wholegrain rice, bread and pasta and plenty of fruit and vegetables has been proven to help lower blood pressure and reduce heart disease risk.",partially aligned,general,0.26118682187985914,0.6586489677429199,0.45991789481138956,NHS,consistent,consistent,consistent
Alcohol affects brain function,Alcohol affects the chemistry of the brain which increases the risk of depression. Cannabis can also bring on depression particularly in teenagers. Avoiding drugs and alcohol is important for maintaining good mental health.,partially aligned,not same claim,0.344623282101918,0.656877875328064,0.500750578714991,NHS,consistent,consistent,consistent
Vaccines improve public health,COVID-19 is caused by the SARS-CoV-2 virus and spreads primarily through droplets of saliva or discharge from the nose when an infected person coughs or sneezes. Vaccination remains one of the most effective tools to prevent severe disease and death.,partially aligned,broad,0.0908622211403884,0.42068034410476685,0.25577128262257764,WHO,inconsistent,partially aligned,partially aligned
People with Type-A blood are more susceptible to COVID-19,COVID-19 can affect people differently. Older adults and those with underlying health conditions face a greater risk of becoming seriously ill from the virus.,inconsistent,unrelated,0.2724184085678742,0.6975004076957703,0.48495940813182226,NHS,consistent,consistent,consistent
Study: omega-3 fats didn’t aid heart patients,A balanced diet should include unsaturated fats which have been shown to increase levels of good cholesterol and help reduce blockages in arteries. Oily fish such as salmon and mackerel are good sources.,inconsistent,unrelated,0.12530032523293752,0.5573015213012695,0.34130092326710354,NHS,partially aligned,partially aligned,consistent
